week,acousticness,danceability,energy,instrumentalness,speechiness,liveness,valence,tempo,duration,explicit_count,major_key_count,common_time_count
1969-09-13,0.3916237553191489,0.5336808510638298,0.5226489361702128,0.042619302127659575,0.04889148936170212,0.19635425531914893,0.650968085106383,121.58282978723405,197039.36170212767,1.0,72,83
1969-09-20,0.38712733,0.53462,0.53018,0.0402819912,0.051215000000000004,0.20028600000000002,0.65032,119.70861000000001,193531.77,1.0,76,86
1969-09-27,0.37435433,0.53768,0.531689,0.040551250899999995,0.050635000000000006,0.186537,0.65753,118.92128000000001,194460.13,2.0,77,85
1969-10-04,0.39829732999999995,0.51885,0.523799,0.0229353309,0.047953,0.189486,0.641449,120.81790000000001,199703.11,2.0,80,85
1969-10-11,0.38010288000000003,0.51818,0.531649,0.0295364724,0.048503,0.199344,0.645929,121.16718999999999,206624.17,2.0,81,86
1969-10-18,0.36278783,0.5153300000000001,0.541039,0.0291420214,0.044925,0.215362,0.6404489999999999,122.39335999999999,218722.68,2.0,85,85
1969-10-25,0.38273432999999996,0.51725,0.543189,0.040337882299999996,0.048616,0.213297,0.6421290000000001,123.33332,212401.09,2.0,87,86
1969-11-01,0.41880713,0.52294,0.5253289999999999,0.0530343358,0.052477,0.21770499999999998,0.637879,123.66813,213438.77,2.0,88,89
1969-11-08,0.4114769,0.53355,0.5299090000000001,0.0487212635,0.053417000000000006,0.207608,0.646319,123.37174,213802.25,1.0,90,87
1969-11-15,0.4105438,0.54776,0.530569,0.052052061600000005,0.056434,0.196908,0.6604300000000001,123.93223,209479.0,1.0,89,89
1969-11-22,0.42760980000000004,0.56113,0.528399,0.0536801586,0.060425000000000006,0.194486,0.67656,123.70593000000001,209258.79,1.0,88,93
1969-11-29,0.4546498,0.56168,0.5210589999999999,0.06171871549999999,0.061501,0.19985,0.66108,123.76681,208329.82,1.0,85,94
1969-12-06,0.44098612600000003,0.55458,0.53144,0.0808425972,0.062478,0.197011,0.6574800000000001,124.24891,207599.89,1.0,84,93
1969-12-13,0.446909126,0.5613900000000001,0.52369,0.0625419215,0.057268,0.206004,0.67176,123.44515,212458.19,1.0,86,93
1969-12-20,0.4471903292929293,0.5557272727272727,0.5475656565656566,0.056661169494949495,0.05657070707070707,0.21994545454545453,0.6824747474747475,125.697,216520.74747474748,1.0,85,90
1969-12-27,0.44209740000000003,0.5398181818181819,0.542979797979798,0.06709481353535353,0.05438787878787879,0.20782626262626264,0.6603333333333333,125.69129292929293,210573.9595959596,1.0,83,86
1970-01-03,0.4540168686868687,0.5377676767676768,0.5395252525252525,0.06895571888888889,0.052950505050505046,0.2177131313131313,0.6677969696969698,123.70107070707071,211090.37373737374,,82,87
1970-01-10,0.4593869696969697,0.5358686868686869,0.5289393939393939,0.06676659575757575,0.059140404040404035,0.21796565656565658,0.656009090909091,121.44014141414142,217624.55555555556,,79,88
1970-01-17,0.4543937373737374,0.5366868686868687,0.5242424242424242,0.06384401606060607,0.06194343434343434,0.21745959595959596,0.6464737373737374,118.87810101010102,222190.0101010101,1.0,77,89
1970-01-24,0.44955680000000003,0.53563,0.51781,0.0646085329,0.061111000000000006,0.22453199999999998,0.646089,119.57717000000001,226785.34,1.0,78,90
1970-01-31,0.4198348,0.5446,0.5202100000000001,0.0555790401,0.062001999999999995,0.223716,0.632894,117.51762000000001,233369.71,1.0,80,91
1970-02-07,0.41007489999999996,0.53191,0.5061800000000001,0.0611618042,0.054206000000000004,0.205336,0.6269939999999999,116.34116,216318.88,,81,90
1970-02-14,0.4081339,0.5322,0.5170600000000001,0.0528366106,0.049053000000000006,0.19047599999999998,0.625674,114.89147999999999,217393.69,,81,90
1970-02-21,0.42131189999999996,0.5329,0.5305,0.0533017556,0.055008999999999995,0.18428799999999998,0.62798,115.19571,215155.9,1.0,81,89
1970-02-28,0.39908009,0.5342199999999999,0.55011,0.0700834409,0.058036000000000004,0.183383,0.62277,115.64245,213674.71,1.0,84,91
1970-03-07,0.41594909,0.52878,0.53981,0.0728017774,0.048025000000000005,0.192341,0.62017,115.68735000000001,210259.59,,81,92
1970-03-14,0.41179871,0.52962,0.54321,0.058140787400000005,0.047332,0.197545,0.6285000000000001,116.1208,209676.7,,83,91
1970-03-21,0.38993101,0.53599,0.55908,0.060504839500000004,0.051188000000000004,0.192049,0.61366,116.46154,209012.79,1.0,86,92
1970-03-28,0.39808961000000004,0.53799,0.5545300000000001,0.0675171072,0.051379,0.19933299999999998,0.6068,116.15964,200782.12,1.0,85,93
1970-04-04,0.39558061,0.5396,0.5569700000000001,0.055650338900000006,0.056478,0.223126,0.61145,118.53352000000001,198371.55,1.0,84,94
1970-04-11,0.39412091,0.54012,0.5544899999999999,0.053789823300000005,0.051849,0.22596,0.62228,118.16659,197436.08,,84,92
1970-04-18,0.40998249000000003,0.53888,0.55277,0.0536482786,0.04871,0.217226,0.62414,116.92192999999999,199988.14,,81,90
1970-04-25,0.38799569,0.55025,0.55862,0.059216684,0.050364000000000006,0.202437,0.63017,118.25482,201639.2,,83,89
1970-05-02,0.36566255,0.54872,0.5682200000000001,0.0621781176,0.054959,0.20860299999999998,0.63518,117.30589,208827.68,2.0,85,89
1970-05-09,0.35394055,0.55313,0.58534,0.0590479866,0.056034,0.206765,0.64515,116.81189,207782.97,2.0,88,91
1970-05-16,0.34764195000000003,0.5469700000000001,0.59773,0.053337095,0.053364,0.218724,0.6527200000000001,117.66749,206081.21,1.0,88,91
1970-05-23,0.348115059,0.5332399999999999,0.5917600000000001,0.0605583779,0.046795,0.217322,0.65987,119.588,208074.86,,87,92
